Sector,Stock P/E,Price to book value,Debt to equity,Return on equity,Return on assets,Buy
Telecommunications,29.5,1.6,0.76,17.2,11.9,1
Real Estate,56.2,3.1,0.48,24.5,13,1
Chemicals,72.2,7.2,2.45,29.5,15.7,0
Chemicals,32.5,2.3,0.03,18.3,4.2,1
Infrastructure,27.9,1,1.37,36.4,4.5,1
Financial Services,27.3,10.2,3.38,34.3,28.1,1
Consumer Goods,11.2,22.9,4.65,31.1,0.8,0
Metals and Mining,5.2,10.2,2.66,11.7,-4.5,0
Textiles,89.5,13.7,4.19,-5.6,29.5,0
Consumer Goods,8.2,8.1,3.15,48.3,4.2,1
Textiles,53.2,11.3,1.53,4.9,22.9,0
Banking,30.1,9.4,5.47,7.6,-3.1,0
Automobiles,56.1,10.3,1.02,16.1,-2.9,0
Banking,62.1,7.5,0.08,26.8,27.7,1
Consumer Goods,44,17.4,0.53,-2,36.7,1
Financial Services,32.6,3.6,2.05,29.1,16.3,1
Textiles,4,1.1,1.16,16.9,21.4,1
Real Estate,22.9,0.4,2.72,34.8,25.2,1
Information Technology,27.7,7.2,1.2,10.9,10,0
Financial Services,18.1,0.1,4.79,-3.7,10.3,1
Automobiles,75.3,11.3,0.92,24.6,6.7,0
Telecommunications,81.2,0.6,2.71,9.6,-2.7,0
Automobiles,38.8,6.1,2.41,3.1,14.4,0
Financial Services,33.1,0.9,4.49,20.8,25.8,1
Metals and Mining,69.2,9.8,0.17,-1.5,9.2,0
Pharmaceuticals,69.4,10.3,3.96,36.1,28.2,0
Automobiles,63.6,1.2,2.31,17.7,-3.5,0
Telecommunications,45.9,6.8,0.65,24.8,13.6,1
Automobiles,64.3,8.2,0.07,12.8,23,0
Financial Services,36.1,13.2,0.65,0.3,20.1,0
Consumer Goods,15.4,24,2,8.5,37.3,0
Consumer Services,29.2,13,2.87,-1.8,25.5,0
Real Estate,76,5.3,3.45,-3.8,11.4,0
Energy,4.6,0,5.22,26.6,18.3,1
Consumer Services,9.9,10.9,4.5,22.1,12.8,1
Metals and Mining,27.1,4.4,3.88,2.7,21,0
Real Estate,23.7,5.5,1.38,19.8,-4.6,0
Financial Services,10.7,14,1.23,6.1,12.6,1
Textiles,9.4,4.5,3.52,-9.8,6,0
Chemicals,7.8,12.3,0.45,16,19.1,1
Chemicals,75.7,6,1.33,34.2,14.6,0
Pharmaceuticals,86.3,11.9,1.04,17.6,18.9,0
Banking,36.6,1,4.05,-1.7,27.9,0
Banking,48.9,4.1,4.26,39.2,-4.3,0
Metals and Mining,3.3,3.9,3.02,36.3,15.4,1
Infrastructure,0.4,0.4,1.26,11.7,17.6,1
Real Estate,57.8,14.6,0.84,1.6,18.4,0
Pharmaceuticals,86.9,9.8,3.79,6.4,-4.7,0
Chemicals,7.2,13.1,0.97,35,24,1
Textiles,31.2,12.6,4.58,-6.4,5.6,0
Infrastructure,27.9,1.4,3.2,-2.4,18.5,0
Automobiles,74.7,9.6,3.68,-7.2,26,0
Infrastructure,62.7,5.1,3.61,4.5,4.1,0
Textiles,83.4,5.7,0.43,4.3,15.5,0
Energy,46.3,11.5,2.74,31.1,-2.1,0
Automobiles,63,12.8,3.03,18.9,23.6,0
Chemicals,49.9,0.7,1.12,-3.7,0.7,0
Information Technology,78.5,2.9,2.35,34.1,19.1,1
Telecommunications,41.2,10.6,4.16,-3.8,5.5,0
Textiles,54.6,13,2.71,9,3.5,0
Infrastructure,26.9,10.9,0.85,-7.3,24,0
Consumer Services,88.8,3,4.66,7.5,7,0
Automobiles,86.8,11.2,0.19,7.4,1.5,0
Textiles,20.2,3.1,2.65,11.5,2.6,0
Banking,44.3,11.1,4.04,33.8,-4.6,0
Automobiles,21,0.9,1.3,31.8,1.5,1
Information Technology,58.8,11.6,3.35,20.9,8.7,0
Metals and Mining,11.3,10.5,0.37,22.6,2.9,1
Textiles,77.4,11.5,1.12,-8.1,15.4,0
Financial Services,28.3,2.3,2.88,12.8,10.7,1
Banking,73.5,0.6,5.28,-5.5,11,0
Consumer Goods,86.4,18.3,0.23,30.5,14.4,0
Pharmaceuticals,55.1,2.7,2.13,16,29,0
Chemicals,94,10.7,4.6,29.1,29.5,0
Infrastructure,31.6,3.6,0.91,36.3,-4.1,0
Textiles,39.5,8.4,1.12,14.2,27.5,1
Energy,19.4,0.4,5.62,-2.8,12.2,1
Infrastructure,31.8,13.4,0.99,6,16.3,0
Metals and Mining,6.1,8,0.4,14.6,16.3,1
Financial Services,20.3,7.2,1.7,3,0,0
Pharmaceuticals,70,0.2,2.73,-5.4,-0.1,0
Consumer Services,17.4,3.6,1.48,29.8,-1.5,1
Consumer Goods,32.1,11.6,1.24,18.6,35.9,0
Information Technology,8.7,4.8,4.31,-7.5,24.3,0
Telecommunications,40.7,0.3,4.45,17,13.9,1
Consumer Services,8.4,3.5,3.87,19.1,29,1
Metals and Mining,8.8,14.4,4.6,-5.9,18.3,0
Infrastructure,41.5,1.1,0.06,-0.9,20.5,1
Telecommunications,75.6,6.6,1.5,18.2,20.3,1
Chemicals,0.1,6.2,0.12,-1,3.9,0
Telecommunications,77.6,14.3,0.87,37.3,9.8,1
Chemicals,7.4,10.1,0.33,0.2,0.3,0
Textiles,31.4,8,0.62,16,29.2,1
Metals and Mining,82.7,4.3,3.79,37.6,9.1,0
Banking,15.5,4,0.81,8.5,-1.8,0
Pharmaceuticals,10.1,3.3,2.07,14.1,28.4,1
Financial Services,2.2,14.3,4.19,25.1,26.3,1
Consumer Services,7.1,1.8,3.62,29.7,10.6,1
Metals and Mining,82.9,13.3,0.07,39,7.4,0
Real Estate,87.4,9.7,0.88,36.5,6.4,0
Consumer Services,54.6,0,0.32,-3.6,29.3,1
Infrastructure,60.3,7.4,4.25,13.4,13.7,0
Telecommunications,66,8,5.29,13.8,30,0
Textiles,28.1,11,1.2,31.5,26.4,1
Automobiles,71.7,14.8,3.56,29.9,26.9,0
Energy,24.4,2.8,1.96,28.3,21.5,1
Energy,34.2,11.5,5.99,15.3,7.6,0
Information Technology,12.9,14.2,1.04,16.4,4.2,0
Real Estate,57.2,6.4,3.18,-1.5,20.7,0
Information Technology,87.2,0.3,3.07,27,9.4,0
Energy,33.7,2.4,0.77,4.2,2,0
Real Estate,16.3,2.8,0.77,35.4,1.5,1
Consumer Services,62.1,3,4.19,39.4,18.1,0
Energy,17.5,12.9,0.21,23.8,13.1,1
Energy,13.9,5.9,1.72,27.8,10.8,1
Telecommunications,10.5,4.9,3.96,23.5,19.3,1
Energy,63.2,2.7,0.12,35.8,1.7,1
Infrastructure,40.6,0.9,4.46,5.9,-2.3,0
Infrastructure,67.1,1.1,3.58,32.3,21.6,1
Real Estate,75.5,5.5,0.56,-1.2,12.5,0
Pharmaceuticals,18.7,14.5,1.34,30.7,26.9,1
Metals and Mining,61.9,13.4,4.46,35.3,13.4,0
Real Estate,2.1,6.7,4.82,11.9,12.1,0
Consumer Goods,103.1,8.2,3.53,45.2,15.9,0
Textiles,6,4.2,1.74,32.7,10.4,1
Consumer Goods,65.5,4.4,4.53,47.9,16.1,0
Real Estate,46.2,1.5,3.31,-5.5,29.5,0
Textiles,47.3,10.8,4.82,17.4,2.4,0
Financial Services,64.2,5,3.04,-4.4,-3.6,0
Chemicals,5.7,1.3,0.42,-3.6,7.4,1
Consumer Services,47.4,11.4,2.62,34.6,-3.6,0
Metals and Mining,37.5,13.8,3.45,-6.4,20,0
Infrastructure,29.8,5.3,1.9,-7.4,20.9,0
Consumer Services,44.7,8.1,1.82,36.1,20.8,0
Automobiles,63.2,10.7,3.36,36.3,-2.4,0
Consumer Goods,58.8,16.3,4.55,25,34.1,0
Banking,36.1,6.9,0.28,35,17.4,1
Metals and Mining,39.6,5.2,4.1,19.5,8,0
Automobiles,71.1,0.7,3.09,-0.1,22.8,0
Information Technology,66.3,13.4,4.59,27.4,15.6,0
Consumer Goods,92.5,0.4,0.01,51.9,36.2,1
Telecommunications,76.7,5,0.47,-6.5,-0.4,0
Telecommunications,6.5,2.9,4.44,-3.1,25.5,1
Infrastructure,24.5,14.4,1.39,27,17.8,1
Financial Services,9.4,3.3,0.84,10.5,12.6,1
Consumer Services,12.9,9.6,2.38,27.3,15.9,1
Telecommunications,64.3,4.5,3.24,27.4,7.3,0
Telecommunications,67.7,12.9,2.13,0,-4.6,0
Information Technology,75.7,6.4,2.03,-1,14.1,0
Consumer Services,24.4,2.7,0.98,34.9,-2.1,0
Automobiles,70.3,9.5,0.66,30,20.6,1
Textiles,0.3,4.5,0.34,23,16.8,1
Banking,0,12.6,2.28,15.9,17.2,1
Pharmaceuticals,70.9,12.8,2.32,-4.9,-2,0
Pharmaceuticals,7.8,12.8,1.97,38.7,27.3,1
Infrastructure,51.5,6.6,0.18,-1.7,8.7,0
Textiles,0.5,10.6,0.56,4.6,21.3,1
Energy,66.8,12.6,5.33,18.4,23.1,0
Energy,4,4.1,3.7,29.2,25.7,1
Infrastructure,32.7,0.7,0.17,3.1,18.6,1
Infrastructure,61.2,9.7,1.28,0.4,-3.2,0
Consumer Goods,61.2,17.7,3.93,-9,23,0
Banking,7.8,5.5,2.53,22.7,27.3,1
Information Technology,61.8,1.2,4.61,29.5,26.6,1
Information Technology,1.3,8.2,2.02,28.4,16.8,1
Banking,54.7,11.7,5.12,16.1,-3.1,0
Textiles,4.8,13.1,0.53,10.7,6.4,1
Consumer Goods,62.6,0.4,3.18,24,13.3,0
Information Technology,38.3,10.3,0.57,37.8,-1.4,0
Infrastructure,69.2,6,1.46,8.5,18.9,0
Real Estate,82.6,1.1,1.75,33.6,14,1
Information Technology,38.2,0.1,1.58,13.1,31.6,0
Information Technology,27.7,5.9,3.11,-2.8,-1.5,0
Real Estate,81.2,12.8,2.11,30.1,5.7,0
Information Technology,9.9,2.1,2.15,-3.3,18.3,1
Information Technology,13.6,12.5,3.65,23.3,1.8,0
Infrastructure,18.9,14.8,2.72,8.9,28.4,0
Chemicals,10.3,12.2,0.58,11.3,23.1,1
Chemicals,11,2.7,3.81,29.4,7.9,1
Consumer Services,71.4,0,0.6,4.7,3.2,0
Consumer Services,7.6,7.9,1.91,8.9,5.8,0
Chemicals,90.7,1.9,4.02,2.5,28.6,0
Telecommunications,27,12.1,1.57,15.8,29.2,1
Textiles,11.9,10.7,2.84,0,20.3,0
Chemicals,46.2,8.2,1.9,-3.7,18.8,0
Chemicals,46.3,7.9,4.32,2.8,15.1,0
Textiles,88.9,2.4,3.44,35.8,6.6,0
Infrastructure,45.2,1.2,1.06,-8.2,26.4,1
Banking,76.3,11.8,3.07,15.4,27.2,0
Automobiles,28.7,3.7,1.97,-2.4,16.2,0
Automobiles,56,6,4.9,35.9,2.3,0
Automobiles,34.8,5.4,4.41,26.8,1.2,0
Banking,43.1,4.9,1.47,6.9,-2.9,0
Chemicals,21,5.7,0.52,11.1,16.2,1
Textiles,62.9,5.3,3.14,-4.2,18,0
Metals and Mining,82.7,3.1,0.21,22.3,13.9,1
Automobiles,82.4,14.9,0.78,2.5,15.9,0
Banking,64.5,12,2.25,12.9,7.4,0
Automobiles,0.6,8.2,2.22,18.9,6.4,0
Banking,64.9,6.3,5.49,-9.8,28.8,0
Real Estate,42.1,10,2.29,-9.8,16.1,0
Automobiles,35.1,12.1,3.74,6.4,-3.5,0
Chemicals,26.3,1,2.62,15.5,12.4,1
Information Technology,27.1,14.4,0.08,44.5,12.2,0
Information Technology,18.6,13.3,4.86,-0.9,30.6,0
Chemicals,91.3,10.8,2.59,35.1,12.1,0
Banking,44.9,14.3,2.66,20.7,6.8,0
Infrastructure,37.5,11.1,1.38,27.4,18.8,1
Telecommunications,23.4,5.7,1.26,39.1,20.6,1
Metals and Mining,29.9,7.1,2.79,-4.8,16,0
Textiles,85,4.5,2.11,-4.6,-1.3,0
Automobiles,55.8,13.1,1.52,9.9,12.1,0
Chemicals,51.7,3,3,21.6,14.7,1
Banking,75.4,10.7,5.29,9.6,18.5,0
Telecommunications,81,6.3,2.69,14.2,17.8,0
Telecommunications,23.9,10.7,4.01,33.6,29.2,1
Telecommunications,63.2,1.5,3.04,34.8,12.3,1
Financial Services,81.4,3.2,1.96,26.7,12.6,1
Automobiles,9.2,3.7,3.83,-9.7,22.2,0
Consumer Services,64.9,0.2,1.19,31.7,-1.3,1
Consumer Goods,91.9,2.8,1.78,9.5,16.4,0
Chemicals,5.4,5.6,0.54,13.1,29,1
Chemicals,10.5,5.5,0.03,34.1,8.7,1
Energy,16.4,14.3,2.8,0.2,25,0
Banking,19.1,12.3,4.51,27,23.2,1
Textiles,10.9,0.1,2.61,-1.6,11.6,1
Automobiles,54.1,3.1,0.86,18.2,28.7,1
Financial Services,30.4,9,3.63,35.9,-4.9,0
Chemicals,22.6,11.7,2.32,29.9,11.5,0
Telecommunications,88.2,13.1,5.44,3,-3.4,0
Telecommunications,95.3,1.8,3.4,33.5,12.2,1
Banking,26,5.6,4.39,17.5,12.3,0
Telecommunications,42,5.3,1.52,-3,5.9,0
Infrastructure,75.4,8.8,2.73,-9.3,9.1,0
Consumer Goods,1.8,9.8,4.56,50.4,12.4,1
Consumer Services,57,13.1,4.36,12,3.4,0
Textiles,20.6,13.8,1.2,17.5,20.8,1
Consumer Services,61,8.6,2.85,-3.6,16.6,0
Consumer Goods,64.7,7.4,3.11,42,33.2,1
Consumer Goods,98.3,10.1,2.32,30.7,33.9,0
Information Technology,64,14.8,3.47,-0.3,16.5,0
Banking,73.7,12.3,3.29,-9.5,29.8,0
Chemicals,12.6,1.5,3.01,-6.9,23.8,1
Chemicals,36.1,5.4,3.65,24,7.9,0
Real Estate,56.1,2.9,2.35,5.1,17.8,0
Telecommunications,5.4,1.5,2.72,34.3,-3.7,1
Chemicals,5.9,2.5,4.54,-9,7.3,0
Information Technology,64.9,8.1,2.76,22.1,30.3,0
Textiles,70.9,1.9,0.9,39.8,24.7,1
Consumer Services,70.2,2.7,4.26,37.7,7.3,0
Textiles,88.3,2.2,0.54,39.5,16.9,1
Telecommunications,51.4,9.4,0.29,28,16.1,1
Infrastructure,84.7,9.8,0.63,38.2,-0.7,0
Pharmaceuticals,21.9,6.2,1.79,1.9,-4.1,0
Pharmaceuticals,3.3,7,0.02,27.8,2,1
Energy,45.5,14.1,0.72,13.5,17.1,0
Information Technology,55,10.5,3.36,37.9,2,0
Financial Services,51,6.2,3.4,25.9,14.1,0
Infrastructure,57.3,14.5,4.77,1.2,14.8,0
Real Estate,45.9,10.3,0.46,19.3,-4.9,0
Textiles,69.5,4.1,1.54,1.3,-3.3,0
Textiles,28.2,14.3,4.41,33.2,17.7,0
Pharmaceuticals,64.3,2.7,2.9,-6.4,10.4,0
Financial Services,42,8.6,4.9,0.2,21.2,0
Energy,69.8,4.4,1.6,20.2,4,0
Banking,40.8,14,3.42,32.2,29.1,0
Energy,36.5,6.7,5.82,38.7,26.8,0
Telecommunications,28.3,4.9,0.55,4.3,12,1
Telecommunications,77.3,2.6,1.6,15.7,19.8,1
Textiles,2.9,3.9,3.45,36.2,29.6,1
Textiles,40,11.1,1.35,12.3,21.7,1
Textiles,72.1,5.4,1.92,3,0.4,0
Pharmaceuticals,51,8.1,0.69,26.3,24,1
Automobiles,47.6,5.4,1.42,32.8,10.9,1
Metals and Mining,87.4,9.5,3.91,32.7,22.8,0
Textiles,26.4,6,1.99,38.6,6.2,0
Automobiles,66.3,12.5,1.22,16.8,21,1
Metals and Mining,77.2,10.3,3.07,21.5,-3.7,0
Automobiles,11.5,9.7,3.25,2.3,13.8,0
Chemicals,12.1,12.8,1.05,23,19.7,1
Consumer Goods,5.9,19.3,4.56,8.8,7.7,0
Consumer Goods,98.8,8.5,1.31,1.5,14.9,0
Real Estate,22.8,11.7,5.84,11.5,23.1,0
Financial Services,86.8,10.4,2.9,5.9,25.9,0
Automobiles,22.4,10,1.3,25.3,15.6,1
Consumer Goods,1.6,19.6,0.12,15.9,20.8,1
Infrastructure,58.7,12.3,3.51,33.1,20.9,0
Automobiles,54.5,10.1,2.87,6.1,7.9,0
Consumer Services,14.6,1.9,2.86,40,-3.2,1
Automobiles,17.3,1.8,2.83,33.7,0.6,1
Chemicals,58.5,6,3.61,23,-2.4,0
Pharmaceuticals,33.5,2,2.75,5.8,20.8,1
Banking,15.5,1.9,2.17,-3.6,-0.5,0
Textiles,7.4,4.8,4.69,2.5,4.4,0
Consumer Goods,87.2,10.7,1.23,1.6,26,0
Real Estate,67.8,0.2,3.13,11.9,28.5,0
Metals and Mining,31,12.6,3.25,22.9,8.3,0
Pharmaceuticals,72.7,7,3.7,-4.5,27.3,0
Real Estate,51.4,13.4,1.12,35.8,29.8,1
Metals and Mining,3.9,1.1,3.11,31.6,27.9,1
Chemicals,33.9,6.4,2.19,12.2,-0.8,0
Pharmaceuticals,10.7,9.1,1.86,28.3,21.1,1
Consumer Services,75.7,5.7,3.75,4.6,29,0
Infrastructure,19.9,14.3,4.84,31.8,6.9,0
Metals and Mining,38.8,10.3,2.8,-0.8,19.8,0
Banking,4,8.3,3.09,21.7,29.3,1
Banking,30.4,7.9,3.49,20.8,10.3,0
Telecommunications,39.2,11,1.76,21.1,0,1
Automobiles,14.2,13.9,0.5,3.4,24.4,1
Textiles,57.9,4.3,1.56,26,14.6,0
Automobiles,40.8,4.2,4.32,0.3,19.2,0
Banking,37.7,12.8,1.5,5.2,-2.1,0
Consumer Services,14.6,4.4,4.74,20.8,24.9,1
Consumer Goods,10.8,3.4,2.79,3.9,23.7,1
Chemicals,40.5,10.2,1.1,27.9,10.5,0
Textiles,15.5,5.6,0.04,17.1,15.4,1
Metals and Mining,54.6,6.1,3.37,28.6,23.3,0
Textiles,44.7,1.7,0.75,4.5,6.4,0
Metals and Mining,20.5,12.6,0.41,22.7,2.4,0
Automobiles,73.5,0,1.39,-7.3,18.3,1
Consumer Goods,49.1,15.6,4.15,43.5,26.9,0
Infrastructure,59.3,2.2,0.68,18.8,12.6,1
Automobiles,10.4,13,2.27,-4.1,12.9,0
Infrastructure,55,12.4,3.27,-5,27,0
Infrastructure,70.9,1,4.7,33.1,18.4,1
Information Technology,51,5.8,5,44.6,-3.7,0
Financial Services,26,7.8,0.37,-4.7,25.9,1
Telecommunications,56.7,11.1,3.56,22.3,10.5,0
Textiles,77.7,7.1,1.1,22.3,24.9,1
Consumer Services,81.1,7.7,3.54,-2.3,29.6,0
Consumer Services,11.4,9,1.26,12.9,26,1
Telecommunications,92.1,10.1,1.9,-2.5,1.1,0
Financial Services,40.5,9,0.55,-2.6,7.4,0
Consumer Goods,2.6,11.6,1.12,31.9,33.7,1
Telecommunications,7.6,13.1,4.33,7.2,9.8,0
Infrastructure,46.8,8,2.71,-4.4,19.7,0
Telecommunications,18.1,11.4,2.99,-0.7,7.1,0
Consumer Services,3.1,11.3,0.2,-3.3,12.2,1
Energy,28.3,9.6,3.73,-7.6,16.7,0
Consumer Services,38.7,0.1,4.09,-0.9,0.4,0
Real Estate,31.5,9.1,5.29,-4.6,21.1,0
Telecommunications,2.5,5.7,3.32,24,26.5,1
Information Technology,6.9,8.9,0.17,1,33.3,1
Consumer Goods,34.8,19.2,3.01,35.4,20.1,1
Automobiles,79.9,14.1,1.06,29.1,-3.5,0
Consumer Services,69.9,11.4,0.27,21,10.2,1
Infrastructure,27.7,11.6,2.04,-9,-3.3,0
Energy,33.6,14.7,3.34,-2.3,14.2,0
Chemicals,28.9,2.2,2.83,37.6,-3.7,1
Chemicals,32.7,10.8,4.02,-0.3,21.7,0
Infrastructure,17.4,14.7,1.06,35.6,26.8,1
Textiles,66.5,12.8,2.26,-8.6,26,0
Infrastructure,73.3,10.4,2.02,30.6,19.4,0
Chemicals,33.8,13.6,2.27,29.7,23.6,1
Consumer Services,68.6,9.1,1.19,-9.3,24.8,0
Real Estate,20.4,10.4,5.16,19.6,21,0
Textiles,39.6,3.8,3.07,5.7,-4.1,0
Infrastructure,52.2,6.1,1.72,5.7,1.9,0
Infrastructure,31.2,13.2,3.05,31.2,28.4,0
Pharmaceuticals,32.1,4.7,3.57,21.3,13.9,1
Energy,54.1,11.4,5.41,15.6,-2.8,0
Consumer Services,81.8,7.9,2.21,12.5,11,0
Information Technology,64.3,1.6,3.97,42.9,14.6,0
Consumer Services,75.8,12,0.21,35.2,17.4,1
Information Technology,51.6,4.3,4.35,44.8,19.6,0
Metals and Mining,60.7,0,0.28,16.8,5.6,1
Information Technology,31,10.6,3.55,-6.8,16.5,0
Chemicals,10.9,2.3,3.66,28.8,25.3,1
Consumer Goods,92.6,19.1,2.92,2,-2.7,0
Consumer Goods,58.3,4.7,0.46,31.4,24.8,1
Information Technology,86.1,14.9,4.1,18.4,17.6,0
Real Estate,68.5,1.4,1.9,-9.2,29.2,1
Banking,27.8,11.1,2.92,2.3,20.6,0
Chemicals,25.3,1.8,2.22,37.8,21.2,1
Banking,74.2,8.4,5.21,-4.6,11,0
Energy,32.6,14.8,1.3,20,9.9,0
Banking,20,2,0.91,26.9,20.4,1
Telecommunications,60.5,9.2,4.59,-5.8,3.6,0
Automobiles,70,9.9,1.69,28.4,23.4,0
Energy,79.8,10,0.27,-9.9,5.2,0
Information Technology,81.7,1.3,2.01,8,33.5,0
Metals and Mining,12.7,5.7,2.83,22.3,12.1,1
Metals and Mining,72.2,0.9,4.49,-1.8,28.5,0
Banking,27.6,9.3,0.13,37.3,15.6,1
Real Estate,22.1,3,1.54,23.6,-0.9,0
Telecommunications,42.2,1.9,2.89,-4.9,-4.9,0
Banking,26.1,2.9,2.77,11.6,10.2,0
Information Technology,45.3,5,3.14,-2,16.6,0
Banking,75.3,5.2,4.64,21.1,24.7,0
Metals and Mining,55,12.4,0.05,-9.5,3.4,0
Chemicals,97.7,7.7,1.1,19.8,1.1,0
Energy,19.4,12.3,0.15,-4.6,25.5,1
Textiles,56.4,12,2.14,8,20.3,0
Telecommunications,44.9,9.6,0.25,15.8,-1.4,0
Consumer Services,46.2,8.3,1.23,3,26.7,0
Banking,0.2,1.9,5.79,7,1.9,1
Telecommunications,60.7,4.2,5.71,30.3,2.3,0
Automobiles,84.9,4.6,4.82,18.2,0.6,0
Real Estate,25.1,2.5,2.9,27.2,7.4,0
Banking,32.6,0.4,1.66,7.3,25.9,1
Banking,9.7,7.5,2.51,3.1,26.6,0
Information Technology,10.9,4.7,2.2,35.1,9.8,0
Infrastructure,5.7,11.3,0.23,19,-4.8,1
Banking,52.4,8.7,3.12,11,23.8,0
Metals and Mining,58.9,10,2,10.2,3.5,0
Chemicals,21.6,7.1,2.58,19.5,-1.4,0
Real Estate,45.3,3.8,5.33,10,6.4,0
Information Technology,31.1,3.7,1.31,23.1,15.8,1
Real Estate,74.3,6.9,3.02,3.9,8.6,0
Consumer Services,74.3,8.4,4.22,16,6,0
Automobiles,18.4,11,0.39,12.1,21.7,1
Pharmaceuticals,40.5,12,1.09,5.8,3.6,0
Infrastructure,5.1,8.2,3.91,4.4,3.3,0
Banking,21.8,11.6,1.78,35.9,12.9,1
Banking,19.1,9.9,2.75,15.6,2.9,1
Banking,9.3,8.8,2.65,11.5,12.5,0
Automobiles,71,13,0.87,27.2,11.9,1
Energy,79.3,6.5,0.39,1.2,14.9,0
Information Technology,2.5,8.4,1.73,16.2,31.1,0
Energy,19.5,8.5,1.93,34.7,19.1,1
Chemicals,34.8,14.8,3.91,-1.6,-4.1,0
Chemicals,93.4,11.1,2.58,4.5,9.7,0
Real Estate,37.4,0.2,4.08,10,3.4,0
Energy,21.8,5.6,0.66,11.2,13.6,1
Pharmaceuticals,80.1,5.9,3.52,19.2,-1.1,0
Telecommunications,73.2,2.3,1.91,31.5,-3.9,1
Infrastructure,75.8,10.7,1.91,-9.4,5.9,0
Telecommunications,75.6,14,4.57,7.5,23.6,0
Telecommunications,18.6,10.4,2.98,31.3,5.1,0
Consumer Services,27.5,4.1,1.3,12,13.4,0
Metals and Mining,11.4,2.6,3.22,-2.9,15.3,0
Telecommunications,17.2,12.3,0.53,35.3,8.9,1
Information Technology,7.1,14.5,0.37,9.5,21.9,1
Consumer Services,15.6,11.4,3.29,28.5,17.3,1
Information Technology,73.1,11.1,2.03,14.8,17.6,0
Textiles,7.9,2.9,0.99,38.5,-2.5,1
Banking,41.4,1.1,5.2,39.5,8.4,1
Metals and Mining,8.4,10.4,2.74,23.9,2.3,0
Telecommunications,81.9,14.3,2.13,10.5,5.8,0
Automobiles,85.4,1.8,4.37,26.6,16.9,1
Financial Services,12.6,9.3,3.29,18.4,9.5,0
Pharmaceuticals,86.8,0.3,1.1,-3,25.5,0
Textiles,51.8,4.5,0.91,30.2,29.2,1
Infrastructure,2.8,6.3,3.7,0.3,28.6,0
Pharmaceuticals,61.5,2.8,2.78,35.9,1.6,0
Consumer Goods,32.3,16.1,4.99,-9.4,33.2,0
Consumer Services,65.4,10.8,1.31,-3,0.7,0
Energy,5,6.5,0.67,12.3,24.9,1
Telecommunications,10.1,2.1,0.28,32.5,9.8,1
Financial Services,51,0.5,1.55,23.2,-4.1,0
Infrastructure,12.7,12.9,4.77,35.8,24.3,1
Telecommunications,0.6,14.4,0.62,16,7.8,1
Textiles,63.1,10.4,3.06,27.4,21.5,0
Pharmaceuticals,35.9,10.5,3.44,17.8,3.9,0
Textiles,57.9,7.4,2.61,24.8,1.4,0
Metals and Mining,54.5,14.1,3.58,3.1,22.2,0
Pharmaceuticals,71.1,7.6,2.6,-3.3,21.3,0
Chemicals,50,1.4,0.16,14.5,5.8,0
Consumer Goods,109.3,14,0.03,-9.8,15.4,0
Information Technology,18.3,11.2,0.84,37.2,12.5,1
Energy,85.6,13.8,3.81,20.2,18.3,0
Information Technology,47.2,2.6,2.64,11.5,31.7,0
Automobiles,73.1,5.9,0.5,18.1,1.8,0
Consumer Services,3.4,9.3,1.14,22.3,3.5,1
Automobiles,48.2,9.8,1.29,39.9,27.4,1
Chemicals,77.8,2.8,2.95,-5.5,12.4,0
Pharmaceuticals,87.5,2.9,0.52,23.8,-1,1
Telecommunications,54.7,7.7,2.93,0.3,3.8,0
Automobiles,7.9,13.2,3.08,20.4,24.6,1
Pharmaceuticals,36.2,14.6,4.23,14.3,23.3,0
Information Technology,24,13.1,0.29,39,-1.1,1
Telecommunications,75.4,2.2,1.84,18.8,16.3,1
Energy,53.5,3.9,0.06,-7.9,15.9,1
Textiles,5.3,14.3,0.71,18.1,12.3,1
Financial Services,29.7,2,1.44,0.5,-2,1
Pharmaceuticals,69.8,0.9,0.16,17.8,17.9,1
Information Technology,29.7,12.6,4.5,33.6,24.9,0
Telecommunications,54.8,10.5,4.79,36.2,-1.4,0
Infrastructure,32.6,11.5,4.44,20.1,18.8,0
Metals and Mining,77.3,7.6,2.68,17.5,12,0
Energy,54.1,9.6,1.2,28.9,19.5,1
Metals and Mining,12.6,11.1,2.18,9.5,28.2,0
Metals and Mining,1.2,13.1,0.96,10.9,-3.2,0
Metals and Mining,72.3,12.1,4.04,0.7,19.9,0
Pharmaceuticals,34.2,9.4,0.53,9.9,-4.4,0
Telecommunications,87.7,2.1,5.57,30.2,29.6,1
Infrastructure,1.4,14.7,0.34,26.5,20.5,1
Information Technology,59.7,6.3,4.2,-0.6,-3.1,0
Consumer Goods,78.2,9.2,0.25,8.7,27.2,1
Pharmaceuticals,83.1,12.6,3.66,16.6,20,0
Telecommunications,34.1,3,3.35,16.9,29.9,1
Infrastructure,76.7,12.9,1.21,38.3,13.8,1
Banking,51.9,8.1,1.66,22.8,13.2,1
Real Estate,58.2,3,0.36,38,27.9,1
Consumer Services,30,14.5,0.16,31.3,13.4,1
Consumer Services,42.9,3.8,0.19,36.4,26.6,1
Textiles,27.1,4.9,0.73,27.3,13.5,1
Consumer Services,2.7,9.3,4.42,27.8,17.4,1
Consumer Goods,48.6,2.3,3.47,19.6,1,0
Telecommunications,15.5,5,0.44,8,-3.7,0
